name,free_bikes,latitude,longitude
King St W / Tecumseth St,7,43.64333333333333,-79.40555555555557
Beverley St / College St,5,43.6575,-79.39527777777778
Gould St / Yonge St (TMU),20,43.657424,-79.381019
Front St W / Bay St (South Side),17,43.64595,-79.378761
Charles St W / Balmuto St - SMART,1,43.668427,-79.38725
Charles St E / Jarvis St - SMART,1,43.669604,-79.381171
Queen St E / Pape Ave - SMART,10,43.661673,-79.337789
Gerrard St E / Broadview - SMART,13,43.665656,-79.352055
Humber Bay Shores Park East,21,43.6308933,-79.4722622
Humber Bay Shores Park West,28,43.6224434,-79.480284
Taddle Creek Park,5,43.66986,-79.398443
Thompson St / Broadview Ave - SMART,7,43.659471,-79.350325
Roncesvalles Ave / Marmaduke St,9,43.650492,-79.450842
Queen St W  /  Fuller Ave - SMART,9,43.640255,-79.439223
King St W / Cowan Ave - SMART,7,43.637922,-79.431734
Garden Ave / Roncesvalles Ave,14,43.643769,-79.447915
Sorauren Ave / Geoffrey St - SMART,3,43.649172,-79.4445087
Bloor St W / Manning Ave - SMART,7,43.663912,-79.416124
Simcoe St / Wellington St W South,11,43.6458569,-79.3853654
Mallon Ave / Jones Ave -SMART,9,43.66587,-79.33443
Berkeley St / Dundas St E - SMART,16,43.658816,-79.367318
128 Sterling Rd - SMART,7,43.654004,-79.444792
Sunnyside Ave / The Queensway - SMART,17,43.6397,-79.44865
Sackville St / Eastern Ave - SMART,8,43.653809,-79.3595
Davenport Rd / McAlpine St - SMART,6,43.673768,-79.391253
Sumach St  / Queen St E,1,43.656638,-79.358749
Blythwood Rd / Yonge St - SMART,4,43.716652,-79.399993
Gerrard St E / Main St,2,43.684261,-79.299332
Southwood Dr / Kingston Rd - SMART,0,43.678685,-79.297974
Neil McLellan Park,11,43.65143,-79.47779
Jane St / Bloor St W (Jane Subway Station),10,43.64976,-79.48477
Antler St / Campbell Ave - SMART,7,43.664182,-79.449066
Clarence Square,12,43.64407,-79.3929
Lake Shore Blvd W / Louisa St,12,43.61868,-79.48674
Front St W / Simcoe St,12,43.6442,-79.38702
Lower Simcoe St / Bremner Blvd,14,43.64283,-79.38409
Glendonwynne Rd / Bloor St W,9,43.65182,-79.47421
Russell Hill Rd / St Clair Ave W,6,43.685569,-79.408019
Church St / Lombard St,10,43.651678,-79.375233
Richmond St E / Yonge St,4,43.651838,-79.378743
High Park Amphitheatre,18,43.645653,-79.464366
Queen's Park Cres W / Hoskin Ave,0,43.665221,-79.394009
Pottery Rd / Lower Don River Trail,12,43.688148,-79.362101
Bleecker St / St James Ave,5,43.669232,-79.374495
Western Battery Rd / Pirandello St,4,43.640075,-79.414156
Carlaw Ave / Danforth Ave,2,43.678285,-79.347346
Cosburn Ave / Cedarvale Ave,10,43.697139,-79.31469
Goodwood Park Crt / Dentonia Park,2,43.694826,-79.295208
Eastwood Rd / Coxwell Ave,14,43.673118,-79.318651
Trent Ave / Danforth Ave,2,43.689293,-79.295895
Orchard Park,17,43.66908,-79.3149
Clendenan Ave / Rowland St - SMART,1,43.66073,-79.47149
Martin Goodman Trail / Remembrance Dr,13,43.63121,-79.41414
Concord Ave / Bloor St W,2,43.66189,-79.42679
Gothic Ave / Quebec Ave,3,43.65389,-79.4675
Via Italia / Mackay Ave,1,43.676697,-79.445029
Rushton Rd / St Clair Ave W,0,43.68114,-79.4277
Dundas St E / Boulton Ave - SMART,10,43.663148,-79.347938
Gerrard St E / Leslie St,19,43.669813,-79.3335
Marilyn Bell Park Tennis Court,25,43.633537,-79.437461
The Queensway at South Kingsway,21,43.63632,-79.47307
Merton St / Mount Pleasant Rd,0,43.697819,-79.38786
Tyndall Ave / King St W - SMART,0,43.638426,-79.429142
College Park - Yonge St Entrance,3,43.65988,-79.38279
Barton Ave / Howland Ave - SMART,0,43.66842,-79.410585
Keele St / Annette St,3,43.66402,-79.46418
Keele St / Vine Ave,4,43.66686,-79.46526
Howard St / Rose Ave,0,43.671278,-79.372127
Little Norway Park,14,43.635023,-79.399505
Isabella St / Church St,9,43.66834,-79.38235
University Ave / Armoury St,2,43.65263,-79.38766
Lascelles Blvd / Eglinton Ave W,2,43.70547,-79.40355
Polson Pier,18,43.641675,-79.354006
Dentonia Park,10,43.694341,-79.291416
Lower Jarvis / Queens Quay E,12,43.64422,-79.36927
Summerhill Ave / Maclennan Ave,0,43.685924,-79.376304
Queens Quay E / Lower Sherbourne St,4,43.645215,-79.364898
Wright Ave / Sorauren Ave - SMART,16,43.646677,-79.442741
Ellis Ave / The Queensway,18,43.63855,-79.46693
High Park - Grenadier Cafe,11,43.645599,-79.4657123
Winona Dr / Davenport Rd,2,43.674923,-79.430465
Danforth Ave / Aldridge Ave,4,43.684758,-79.316767
Dundonald St / Church St,0,43.66663,-79.38148
Gerrard St E / Malvern Ave - SMART,5,43.685221,-79.294766
Bathurst St/Queens Quay(Billy Bishop Airport),29,43.635492,-79.398253
Queens Quay W / Lower Simcoe St,14,43.63951,-79.383717
Bremner Blvd / Rees St,16,43.641529,-79.386741
King St W / Crawford St,18,43.6417852,-79.4131148
Yonge St / Dundas Sq,22,43.655766,-79.3802
St Clair Ave W / Winona Dr,1,43.680466,-79.432522
Bay St / Wellesley St W,20,43.664088,-79.387095
Humberside Grounds - SMART,3,43.65917,-79.46997
Bloor St E / Huntley St - SMART,1,43.671535,-79.379173
Wellington St W / York St,3,43.646734,-79.38301
Dalton Rd / Bloor St W,2,43.6662942,-79.4066433
Davenport Rd / Christie St,2,43.675278,-79.423889
King St W / Jordan St,3,43.648928,-79.378623
George St / King St E,3,43.6509552,-79.3707
E.T. Seton Park (Eglinton Ave E / Leslie St),7,43.715951,-79.351246
Woodbine Ave / Lake Shore Blvd E,25,43.665645,-79.304711
King St W / Charlotte St,9,43.645572,-79.39399
Jarvis St / Richmond St E,10,43.652777,-79.372637
Symington Ave / Dupont St,8,43.665538,-79.451263
King St E / Jarvis St,22,43.650325,-79.372287
Bay St / Bloor St W (East Side),3,43.66943,-79.38915
Bay St / Bloor St W (West Side),0,43.669244,-79.3894
Wells Hill Ave / St Clair Ave W,2,43.683351,-79.41562
Dundas St E / George St,11,43.6574766,-79.373446
Fleet St / Bathurst St,2,43.636611,-79.400042
Tecumseth St / Queen St W - SMART,9,43.646552,-79.406468
Wellington St W / Bay St,15,43.647259,-79.379878
Briar Hill Ave / Yonge St - SMART,14,43.713524,-79.400162
King St E / Church St,12,43.65003919999999,-79.3733541
Bay St / Albert St,17,43.653264,-79.382458
Wellesley St W / Queen's Park Cres,0,43.663376,-79.392125
Bay St / College St (East Side),2,43.660439,-79.385525
University Ave / College St (West),10,43.659226,-79.390213
University Ave / College St (East),2,43.65995,-79.38964
Queen's Park Cres E / Grosvenor St - SMART,3,43.661803,-79.389682
Bay St / College St (West Side) - SMART,0,43.660087,-79.385655
Superior Ave / Lake Shore Blvd W,14,43.6146692,-79.4873148
Humber Bay Shores Park / Marine Parade Dr,23,43.626265,-79.476723
Lake Shore Blvd W / Colborne Lodge Dr,26,43.63771,-79.458173
Ripley Ave / Ormskirk Ave,22,43.6390437,-79.4760109
St Clarens Ave / Shirley St,0,43.6486599,-79.4376413
Lisgar Park,12,43.6423847,-79.4240277
Bartlett Parkette,0,43.6702236,-79.4360232
Sherbourne St N / Elm Ave,7,43.6752732,-79.3778458
Walnut Ave / Queen St W,12,43.645469,-79.411084
Vaughan Rd /Wychwood Ave,0,43.6882821,-79.4253856
Palmerston Ave / Dundas St W,6,43.651603,-79.408346
541 Huron St - SMART,8,43.670206,-79.402643
Euclid Ave / Herrick St - SMART,8,43.661559,-79.413845
Baldwin St / Henry St,6,43.6560758,-79.393259
Orde St / McCaul St,11,43.6580442,-79.3927404
Ross St / Cecil St - SMART,0,43.6568254,-79.3966159
Lake Shore Blvd W / Thirty Ninth Street,13,43.5927419,-79.54033009999999
Lake Shore Blvd W / Twenty Fourth St,13,43.597082,-79.522768
Windsor St / Newcastle St,23,43.6171635,-79.4971065
Royal York Rd / Mimico Ave,18,43.612063,-79.496573
Berry Rd / Bell Manor Dr,11,43.63732,-79.489083
Humber College,22,43.5961692,-79.5160575
Amos Waites Park,16,43.613606,-79.4883535
Priscilla  Ave / Dundas St W,7,43.664665,-79.489385
Durie St / Dundas St W,3,43.665523,-79.484892
St Clair Ave W / Castleton Ave,7,43.668496,-79.485426
Weston Lions Park,0,43.698841,-79.519472
Annette St / Jane St,14,43.658574,-79.487246
Jameson Ave / Queen St W,16,43.63985,-79.43703
Carlaw Ave / Dundas St E,1,43.665076,-79.341509
Toronto Inukshuk Park,23,43.6323994,-79.40978179999999
Cosburn Ave / Durant Ave,7,43.6935477,-79.3301658
Swansea Community Centre,14,43.6438036,-79.4770327
Bellwoods Ave / Treford Pl - SMART,10,43.65246,-79.413528
Bayview Ave / Lawren Harris Square,0,43.6548521,-79.35397680000001
The Queensway / High St,22,43.630874,-79.482407
Symington Ave / Davenport Rd,2,43.6704403,-79.45328549999999
Front St E / Bayview Avenue,5,43.6535,-79.354068
Oak St / Sumach St,8,43.6617908,-79.361515
The Esplanade / Hahn Pl,5,43.649709,-79.364184
439 Sherbourne St,1,43.666051,-79.374161
Glebe Rd W / Yonge St,0,43.7005976,-79.397345
Hillsdale Ave W / Yonge St,0,43.7029672,-79.3979073
Alvin Ave / St Clair Ave E,0,43.68871,-79.39264
Eglinton Ave W / Scarlett Rd,1,43.6834703,-79.5108942
The Pond Rd / Sentinel Rd,5,43.7696262,-79.5025943
Sentinel Rd / Finch Corridor Trail,13,43.7641485,-79.5012809
Finch West Subway Station,0,43.76521,-79.491281
Dufferin St / Finch Corridor Trail,6,43.7724019,-79.4675395
G Ross Lord Park,5,43.7781116,-79.467963
Elwood Blvd / Avenue Rd,1,43.707049,-79.40966
Roehampton Ave / Bayview Ave,5,43.711751,-79.378615
Teddington Park Ave,5,43.732975,-79.40401
Ursula Franklin St / Huron St - SMART,5,43.660274,-79.398049
Woodbine Ave / O'Connor Dr,8,43.699281,-79.318802
Dawes Rd / Taylor Creek Trl,14,43.696631,-79.297436
Queen St W / John St,21,43.650077,-79.391291
Fairmount Park,6,43.6765897,-79.3163022
Richmond St W / York St,0,43.650745,-79.383633
Sunnybrook Park,9,43.720233,-79.362092
Vaughan Rd / Oakwood Ave,2,43.6926825,-79.441042
Braemar Ave / Eglinton Ave W,4,43.7041957,-79.4094472
Eglinton Ave E / Redpath Ave,1,43.7078691,-79.39248
Marie Curtis Park,20,43.5880774,-79.5432067
Guildwood GO Station (South),0,43.754978,-79.1971289
Chorley Park - SMART,9,43.6856,-79.3718
Cherry Beach,45,43.637764,-79.345359
Spadina Ave / Harbord St - SMART,9,43.6629228,-79.4018451
Ursula Franklin St / St. George St - SMART,12,43.660296,-79.397107
Rouge Hill GO Station,3,43.7805505,-79.1301203
Colonel Danforth Park,0,43.7777114,-79.1659711
Morningside Park (Highland Creek Trail),3,43.779353,-79.193023
Livingston Rd / Guildwood Pkwy,3,43.747854,-79.199327
Livingston Rd (Highland Creek Trail),0,43.7561681,-79.2026694
Twelfth St / Thirteenth St,19,43.6002896,-79.5108692
Florence Gell Park,13,43.6615467,-79.498398
Wallace Ave / Pauline Ave,0,43.6632257,-79.4397052
Kingston Rd / Beech Ave,14,43.680095,-79.291714
Victoria Park Ave / Danforth Ave,15,43.691468,-79.288619
Union Station,27,43.645609,-79.380386
